,T,i
600,0.3005,-0.00394201
601,0.301,-0.00393865
602,0.3015,-0.00393713
603,0.302,-0.00393377
604,0.3025,-0.00393255
605,0.303,-0.00393041
606,0.3035,-0.00392584
607,0.304,-0.00392523
608,0.3045,-0.00392126
609,0.305,-0.0039179
610,0.3055,-0.00391515
611,0.306,-0.00391058
612,0.3065,-0.00390936
613,0.307,-0.00390447
614,0.3075,-0.00390478
615,0.308,-0.00390051
616,0.3085,-0.00389898
617,0.309,-0.00389501
618,0.3095,-0.00389532
619,0.31,-0.00389013
620,0.3105,-0.00388677
621,0.311,-0.00388342
622,0.3115,-0.0038822
623,0.312,-0.00387853
624,0.3125,-0.00387792
625,0.313,-0.00387365
626,0.3135,-0.0038709
627,0.314,-0.0038709
628,0.3145,-0.00386511
629,0.315,-0.00386358
630,0.3155,-0.00386083
631,0.316,-0.00385809
632,0.3165,-0.00385503
633,0.317,-0.00385442
634,0.3175,-0.00385107
635,0.318,-0.00384802
636,0.3185,-0.00384679
637,0.319,-0.00384283
638,0.3195,-0.00384039
639,0.32,-0.00383703
640,0.3205,-0.00383459
641,0.321,-0.00383123
642,0.3215,-0.00382818
643,0.322,-0.00382635
644,0.3225,-0.0038233
645,0.323,-0.00382238
646,0.3235,-0.00381902
647,0.324,-0.00381841
648,0.3245,-0.00381414
649,0.325,-0.00381109
650,0.3255,-0.00381048
651,0.326,-0.00380773
652,0.3265,-0.00380376
653,0.327,-0.00380102
654,0.3275,-0.00380041
655,0.328,-0.00379705
656,0.3285,-0.00379369
657,0.329,-0.00379217
658,0.3295,-0.00378973
659,0.33,-0.00378545
660,0.3305,-0.00378332
661,0.331,-0.00377996
662,0.3315,-0.00377996
663,0.332,-0.00377721
664,0.3325,-0.0037763
665,0.333,-0.00377325
666,0.3335,-0.00376867
667,0.334,-0.00376623
668,0.3345,-0.00376379
669,0.335,-0.00376287
670,0.3355,-0.0037586
671,0.336,-0.00375799
672,0.3365,-0.00375494
673,0.337,-0.00375402
674,0.3375,-0.00374914
675,0.338,-0.00374547
676,0.3385,-0.00374425
677,0.339,-0.00374181
678,0.3395,-0.00373846
679,0.34,-0.00373693
680,0.3405,-0.00373418
681,0.341,-0.00373296
682,0.3415,-0.00373113
683,0.342,-0.00373022
684,0.3425,-0.00372686
685,0.343,-0.0037232
686,0.3435,-0.00372228
687,0.344,-0.00371953
688,0.3445,-0.00371526
689,0.345,-0.00371435
690,0.3455,-0.00371404
691,0.346,-0.00370916
692,0.3465,-0.00370855
693,0.347,-0.00370428
694,0.3475,-0.00370244
695,0.348,-0.00370122
696,0.3485,-0.00369787
697,0.349,-0.00369573
698,0.3495,-0.00369329
699,0.35,-0.00369176
700,0.3505,-0.00369054
701,0.351,-0.00368596
702,0.3515,-0.00368413
703,0.352,-0.0036823
704,0.3525,-0.00367925
705,0.353,-0.0036762
706,0.3535,-0.00367589
707,0.354,-0.00367437
708,0.3545,-0.00367101
709,0.355,-0.00366765
710,0.3555,-0.00366552
711,0.356,-0.00366338
712,0.3565,-0.0036643
713,0.357,-0.00365911
714,0.3575,-0.00365789
715,0.358,-0.003653
716,0.3585,-0.00365362
717,0.359,-0.00365087
718,0.3595,-0.00364751
719,0.36,-0.00364599
720,0.3605,-0.00364202
721,0.361,-0.0036411
722,0.3615,-0.00363836
723,0.362,-0.00363714
724,0.3625,-0.0036353
725,0.363,-0.00363195
726,0.3635,-0.0036292
727,0.364,-0.0036292
728,0.3645,-0.00362432
729,0.365,-0.00362401
730,0.3655,-0.00362249
731,0.366,-0.00361974
732,0.3665,-0.00361669
733,0.367,-0.00361486
734,0.3675,-0.0036115
735,0.368,-0.0036115
736,0.3685,-0.00360967
737,0.369,-0.0036054
738,0.3695,-0.0036054
739,0.37,-0.00360173
740,0.3705,-0.00359868
741,0.371,-0.00360021
742,0.3715,-0.00359502
743,0.372,-0.00359563
744,0.3725,-0.00359166
745,0.373,-0.0035877
746,0.3735,-0.00358678
747,0.374,-0.00358464
748,0.3745,-0.00358342
749,0.375,-0.00357946
750,0.3755,-0.00357732
751,0.376,-0.00357732
752,0.3765,-0.00357427
753,0.377,-0.00357396
754,0.3775,-0.00357
755,0.378,-0.00356755
756,0.3785,-0.00356694
757,0.379,-0.00356359
758,0.3795,-0.00356084
759,0.38,-0.00355962
760,0.3805,-0.00355626
761,0.381,-0.00355626
762,0.3815,-0.00355168
763,0.382,-0.00355138
764,0.3825,-0.00354985
765,0.383,-0.00354619
766,0.3835,-0.00354345
767,0.384,-0.00354192
768,0.3845,-0.003541
769,0.385,-0.00354039
770,0.3855,-0.00353673
771,0.386,-0.00353307
772,0.3865,-0.00353246
773,0.387,-0.00353093
774,0.3875,-0.00352727
775,0.388,-0.00352574
776,0.3885,-0.00352422
777,0.389,-0.00352239
778,0.3895,-0.00352117
779,0.39,-0.00351934
780,0.3905,-0.00351598
781,0.391,-0.00351262
782,0.3915,-0.00351293
783,0.392,-0.00350896
784,0.3925,-0.00350743
785,0.393,-0.00350743
786,0.3935,-0.00350286
787,0.394,-0.00350255
788,0.3945,-0.00349889
789,0.395,-0.00349675
790,0.3955,-0.00349523
791,0.396,-0.00349279
792,0.3965,-0.00349248
793,0.397,-0.00348912
794,0.3975,-0.00348699
795,0.398,-0.00348607
796,0.3985,-0.00348393
797,0.399,-0.00348271
798,0.3995,-0.0034818
799,0.4,-0.00347814
800,0.4005,-0.003476
801,0.401,-0.00347386
802,0.4015,-0.00347173
803,0.402,-0.00346959
804,0.4025,-0.0034702
805,0.403,-0.00346746
806,0.4035,-0.00346471
807,0.404,-0.0034644
808,0.4045,-0.00346105
809,0.405,-0.00346044
810,0.4055,-0.00345708
811,0.406,-0.00345616
812,0.4065,-0.00345128
813,0.407,-0.00345128
814,0.4075,-0.00344884
815,0.408,-0.00344853
816,0.4085,-0.00344609
817,0.409,-0.00344365
818,0.4095,-0.00344182
819,0.41,-0.00344029
820,0.4105,-0.00343938
821,0.411,-0.00343572
822,0.4115,-0.0034348
823,0.412,-0.00343419
824,0.4125,-0.00343175
825,0.413,-0.00342748
826,0.4135,-0.00342778
827,0.414,-0.00342442
828,0.4145,-0.00342168
829,0.415,-0.00342107
830,0.4155,-0.00341924
831,0.416,-0.0034171
832,0.4165,-0.0034168
833,0.417,-0.00341283
834,0.4175,-0.00341222
835,0.418,-0.00340978
836,0.4185,-0.00340917
837,0.419,-0.00340611
838,0.4195,-0.00340398
839,0.42,-0.00340154
840,0.4205,-0.00340032
841,0.421,-0.00339848
842,0.4215,-0.00339757
843,0.422,-0.00339482
844,0.4225,-0.0033933
845,0.423,-0.0033933
