,T,i
479,0.24,-0.00307438
480,0.2405,-0.00307194
481,0.241,-0.0030695
482,0.2415,-0.00306828
483,0.242,-0.00306309
484,0.2425,-0.00306218
485,0.243,-0.00306187
486,0.2435,-0.00305668
487,0.244,-0.00305607
488,0.2445,-0.00305241
489,0.245,-0.0030518
490,0.2455,-0.00304844
491,0.246,-0.00304692
492,0.2465,-0.00304478
493,0.247,-0.00304112
494,0.2475,-0.00303776
495,0.248,-0.00303837
496,0.2485,-0.00303593
497,0.249,-0.00303318
498,0.2495,-0.00303044
499,0.25,-0.00302738
500,0.2505,-0.00302647
501,0.251,-0.00302281
502,0.2515,-0.00302159
503,0.252,-0.00301884
504,0.2525,-0.0030164
505,0.253,-0.00301335
506,0.2535,-0.00301426
507,0.254,-0.00300968
508,0.2545,-0.00300663
509,0.255,-0.00300602
510,0.2555,-0.00300236
511,0.256,-0.00300083
512,0.2565,-0.0029987
513,0.257,-0.00299565
514,0.2575,-0.00299259
515,0.258,-0.00298985
516,0.2585,-0.00298985
517,0.259,-0.00298741
518,0.2595,-0.0029868
519,0.26,-0.00298252
520,0.2605,-0.00297978
521,0.261,-0.00297703
522,0.2615,-0.00297581
523,0.262,-0.00297367
524,0.2625,-0.00297276
525,0.263,-0.00297062
526,0.2635,-0.00296787
527,0.264,-0.00296604
528,0.2645,-0.00296391
529,0.265,-0.00296177
530,0.2655,-0.00295963
531,0.266,-0.0029578
532,0.2665,-0.00295323
533,0.267,-0.00295201
534,0.2675,-0.0029514
535,0.268,-0.00294865
536,0.2685,-0.0029456
537,0.269,-0.00294468
538,0.2695,-0.00294224
539,0.27,-0.00294071
540,0.2705,-0.00293736
541,0.271,-0.00293614
542,0.2715,-0.00293278
543,0.272,-0.00293003
544,0.2725,-0.00292973
545,0.273,-0.00292545
546,0.2735,-0.00292545
547,0.274,-0.00292332
548,0.2745,-0.00292149
549,0.275,-0.00291905
550,0.2755,-0.00291813
551,0.276,-0.00291416
552,0.2765,-0.00291111
553,0.277,-0.00291081
554,0.2775,-0.00290836
555,0.278,-0.00290745
556,0.2785,-0.0029044
557,0.279,-0.00290318
558,0.2795,-0.00289982
559,0.28,-0.00289982
560,0.2805,-0.00289677
561,0.281,-0.00289494
562,0.2815,-0.00289341
563,0.282,-0.00289005
564,0.2825,-0.00288731
565,0.283,-0.00288853
566,0.2835,-0.00288456
567,0.284,-0.00288242
568,0.2845,-0.00288151
569,0.285,-0.00287907
570,0.2855,-0.00287602
571,0.286,-0.00287663
572,0.2865,-0.00287418
573,0.287,-0.00287113
574,0.2875,-0.00287022
575,0.288,-0.00286472
576,0.2885,-0.00286472
577,0.289,-0.00286289
578,0.2895,-0.00286198
579,0.29,-0.00285954
580,0.2905,-0.00285893
581,0.291,-0.00285679
582,0.2915,-0.00285404
583,0.292,-0.00285282
584,0.2925,-0.00285038
585,0.293,-0.00284672
586,0.2935,-0.00284611
587,0.294,-0.00284397
588,0.2945,-0.00284245
589,0.295,-0.00284092
590,0.2955,-0.00284
591,0.296,-0.00283634
592,0.2965,-0.00283512
593,0.297,-0.0028339
594,0.2975,-0.00283024
595,0.298,-0.00282688
596,0.2985,-0.00282719
597,0.299,-0.00282475
598,0.2995,-0.00282505
